$T_I$,Motion,Control Mode
2.154050129664949,No - $H_{pe}$,Pos
1.8620727033991225,Yes - $H_{pe}$,Pos
1.7531095482334884,Yes - $H_{pxd}$,Pos
-0.014176184595536604,No - $H_{pe}$,Vel
-0.036148275453655024,Yes - $H_{pe}$,Vel
-0.10766936142141756,Yes - $H_{pxd}$,Vel
0.0008604112422895081,No - $H_{pe}$,Acc
-0.00023009754688427405,Yes - $H_{pe}$,Acc
0.8625213218979937,Yes - $H_{pxd}$,Acc
1.6483254806490208,No - $H_{pe}$,Pos
2.8952446217004786,Yes - $H_{pe}$,Pos
11.532791073500405,Yes - $H_{pxd}$,Pos
-1.5328324652415205e-06,No - $H_{pe}$,Vel
-0.06899007157295697,Yes - $H_{pe}$,Vel
0.2501417509583802,Yes - $H_{pxd}$,Vel
-6.815645429558317e-07,No - $H_{pe}$,Acc
0.005845993560794627,Yes - $H_{pe}$,Acc
0.20395384891598778,Yes - $H_{pxd}$,Acc
1.215914615190512,No - $H_{pe}$,Pos
4.002265113170802,Yes - $H_{pe}$,Pos
3.5484282699875016,Yes - $H_{pxd}$,Pos
0.011455862779198174,No - $H_{pe}$,Vel
0.07012642517920822,Yes - $H_{pe}$,Vel
-0.25755262665919704,Yes - $H_{pxd}$,Vel
-1.858141926301229e-06,No - $H_{pe}$,Acc
0.23386505788145406,Yes - $H_{pe}$,Acc
0.16030155508660343,Yes - $H_{pxd}$,Acc
2.411721886552371,No - $H_{pe}$,Pos
2.6668008432589296,Yes - $H_{pe}$,Pos
2.6902198340600467,Yes - $H_{pxd}$,Pos
0.01992755623481584,No - $H_{pe}$,Vel
0.21922734421820128,Yes - $H_{pe}$,Vel
0.03693580958771398,Yes - $H_{pxd}$,Vel
-0.015377066123700302,No - $H_{pe}$,Acc
0.02956989266743327,Yes - $H_{pe}$,Acc
0.5141771022736974,Yes - $H_{pxd}$,Acc
1.4400275811480587,No - $H_{pe}$,Pos
1.642481802948395,Yes - $H_{pe}$,Pos
3.3852680028446267,Yes - $H_{pxd}$,Pos
-1.9500014988617074e-05,No - $H_{pe}$,Vel
0.06985760459424153,Yes - $H_{pe}$,Vel
-0.15646319001912573,Yes - $H_{pxd}$,Vel
-0.00019885884476426635,No - $H_{pe}$,Acc
-0.009351813345097926,Yes - $H_{pe}$,Acc
0.21829653619720368,Yes - $H_{pxd}$,Acc
-0.014630551136427403,No - $H_{pe}$,Pos
3.292034199628451,Yes - $H_{pe}$,Pos
1.1287657460009175,Yes - $H_{pxd}$,Pos
-1.5960867135327336e-06,No - $H_{pe}$,Vel
-0.06012314575516278,Yes - $H_{pe}$,Vel
-0.1780739370118889,Yes - $H_{pxd}$,Vel
2.6255166237470267e-06,No - $H_{pe}$,Acc
-0.01623069922957106,Yes - $H_{pe}$,Acc
0.03623962987439901,Yes - $H_{pxd}$,Acc
