$\tau$,Motion,Control Mode
0.20252196079879758,No - $H_{pe}$,Pos
0.2638181201304972,Yes - $H_{pe}$,Pos
0.13468375914037867,Yes - $H_{pxd}$,Pos
0.2770691814105034,No - $H_{pe}$,Vel
0.3498606591873282,Yes - $H_{pe}$,Vel
0.18672745152766237,Yes - $H_{pxd}$,Vel
0.24718005599805326,No - $H_{pe}$,Acc
0.296491416043723,Yes - $H_{pe}$,Acc
0.18162281593022855,Yes - $H_{pxd}$,Acc
0.2604297098207301,No - $H_{pe}$,Pos
0.2842458949284298,Yes - $H_{pe}$,Pos
-0.4450764944521286,Yes - $H_{pxd}$,Pos
0.3106034203334822,No - $H_{pe}$,Vel
0.3803512553927453,Yes - $H_{pe}$,Vel
3.2007883565269033,Yes - $H_{pxd}$,Vel
0.2915200640132562,No - $H_{pe}$,Acc
0.33766625737493305,Yes - $H_{pe}$,Acc
0.23144565977017068,Yes - $H_{pxd}$,Acc
0.21214478758054867,No - $H_{pe}$,Pos
0.23757888861169096,Yes - $H_{pe}$,Pos
0.5187043527535418,Yes - $H_{pxd}$,Pos
0.26221460437637223,No - $H_{pe}$,Vel
0.30427560302619905,Yes - $H_{pe}$,Vel
-0.195577010933833,Yes - $H_{pxd}$,Vel
0.28750430453788023,No - $H_{pe}$,Acc
0.25257260497323375,Yes - $H_{pe}$,Acc
0.1663167966696656,Yes - $H_{pxd}$,Acc
0.17704973880344815,No - $H_{pe}$,Pos
0.2176166105289996,Yes - $H_{pe}$,Pos
-0.600490943225666,Yes - $H_{pxd}$,Pos
0.24801213480459172,No - $H_{pe}$,Vel
0.23094784348406439,Yes - $H_{pe}$,Vel
-0.17746088176963876,Yes - $H_{pxd}$,Vel
0.273351070672578,No - $H_{pe}$,Acc
0.2852946063643038,Yes - $H_{pe}$,Acc
0.1823749657540198,Yes - $H_{pxd}$,Acc
0.20986653271785755,No - $H_{pe}$,Pos
0.06007092686955722,Yes - $H_{pe}$,Pos
0.11415766029699471,Yes - $H_{pxd}$,Pos
0.26948674421965824,No - $H_{pe}$,Vel
0.29853725194063396,Yes - $H_{pe}$,Vel
0.15805446355468128,Yes - $H_{pxd}$,Vel
0.3028900072773906,No - $H_{pe}$,Acc
0.3079991513659872,Yes - $H_{pe}$,Acc
0.14622194867484922,Yes - $H_{pxd}$,Acc
0.2901263484505091,No - $H_{pe}$,Pos
0.27427148180497685,Yes - $H_{pe}$,Pos
-0.3207815128020105,Yes - $H_{pxd}$,Pos
0.2807936475824795,No - $H_{pe}$,Vel
0.4562577745829065,Yes - $H_{pe}$,Vel
0.23287074084642867,Yes - $H_{pxd}$,Vel
0.2879011404655538,No - $H_{pe}$,Acc
0.3621559494295342,Yes - $H_{pe}$,Acc
0.2570104131034951,Yes - $H_{pxd}$,Acc
